"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8858","Get user list vis Get request","","2026-08-30","passed","2026-08-30","","","",""
"","696","Create a new user via POST request","","2026-08-30","passed","2026-08-30","","","",""
"","1759","User can control dropdown feature","","2026-08-30","passed","2026-08-30","","","",""
"","1469","User can upload a file successfully","","2026-08-30","passed","2026-08-30","","","",""
"","2909","User can switch to iframe and enter text","","2026-08-30","passed","2026-08-30","","","",""
"","1813","User can close Javascript alert","","2026-08-30","passed","2026-08-30","","","",""
"","2383","User can hover element","","2026-08-30","passed","2026-08-30","","","",""
"","1968","User can handle multiple windows","","2026-08-30","passed","2026-08-30","","","",""
"","2727","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-08-30","broken","2026-08-30","","","",""
"","694","Update existing user details via PUT request","","2026-08-30","passed","2026-08-30","","","",""
"","2643","User can search for a product","","2026-08-30","passed","2026-08-30","","","",""
"","689","Delete a user via DELETE request","","2026-08-30","passed","2026-08-30","","","",""
